article_id,annotator,node,ranges,tokens,label,id
5d04a31b896a7fea069ef06f,A,0,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,1
5d04a31b896a7fea069ef06f,A,1,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Value,2
5d04a31b896a7fea069ef06f,A,3,"[[3169, 3190]]",É tudo cómico na FIFA,Value,3
5d04a31b896a7fea069ef06f,A,4,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value,4
5d04a31b896a7fea069ef06f,A,6,"[[4257, 4296]]",não nos fazem rir à custa dos poderosos,Value,5
5d04a31b896a7fea069ef06f,A,7,"[[4305, 4404]]",alguém os convenceu de que devem ter como critério o interesse do público e não o interesse público,Value,6
5d04a31b896a7fea069ef06f,A,9,"[[3641, 3711]]",já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA,Fact,7
5d04a31b896a7fea069ef06f,A,10,"[[3730, 3760]]",são infinitamente minoritários,Value,8
5d04a31b896a7fea069ef06f,A,11,"[[3778, 3922]]",toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo,Value,9
5d04a31b896a7fea069ef06f,B,0,"[[1321, 1387]]","“o Portugal que morre” morre anónimo e esquecido, calado e cansado",Value(-),10
5d04a31b896a7fea069ef06f,B,1,"[[1153, 1316]]",Há no discurso político uma tal preocupação com a peleja partidária para a mera conquista de terreno e uma tal indiferença pelas coisas verdadeiramente importantes,Value(-),11
5d04a31b896a7fea069ef06f,B,3,"[[1973, 2031], [2285, 2353]]",o estatuto de “Estado dentro do estádio” que a FIFA possui como organização internacional e “sem fins lucrativos” que finge ser,Value(-),12
5d04a31b896a7fea069ef06f,B,4,"[[2033, 2053]]",ditando as suas leis,Value(-),13
5d04a31b896a7fea069ef06f,B,5,"[[2055, 2090]]",criando os seus tribunais especiais,Value(-),14
5d04a31b896a7fea069ef06f,B,6,"[[2092, 2119]]",fugindo a todos os impostos,Value(-),15
5d04a31b896a7fea069ef06f,B,7,"[[2121, 2218]]",absorvendo fundos que os países podiam e deviam dedicar ao desenvolvimento e ao combate à pobreza,Value(-),16
5d04a31b896a7fea069ef06f,B,8,"[[2220, 2283]]",acumulando uma fortuna colossal que foge a todos os escrutínios,Value(-),17
5d04a31b896a7fea069ef06f,B,14,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,18
5d04a31b896a7fea069ef06f,B,15,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Value,19
5d04a31b896a7fea069ef06f,B,17,"[[2808, 2866]]",O que é espantoso é que a peça era singularmente objectiva,Value,20
5d04a31b896a7fea069ef06f,B,18,"[[2949, 2993]]",O humor nascia do absurdo da prática da FIFA,Value(-),21
5d04a31b896a7fea069ef06f,B,19,"[[2995, 3036]]",do gigantesco sem-sentido da sua actuação,Value(-),22
5d04a31b896a7fea069ef06f,B,20,"[[3038, 3089]]",do despropósito das declarações dos seus dirigentes,Value(-),23
5d04a31b896a7fea069ef06f,B,21,"[[3091, 3122]]",da insensatez da sua existência,Value(-),24
5d04a31b896a7fea069ef06f,B,22,"[[3124, 3167]]",da arrogância da sua relação com os Estados,Value(-),25
5d04a31b896a7fea069ef06f,B,28,"[[3169, 3190]]",É tudo cómico na FIFA,Value(+),26
5d04a31b896a7fea069ef06f,B,29,"[[3335, 3397]]",todos os dias a FIFA nos espeta com uma tarte de creme na cara,Value,27
5d04a31b896a7fea069ef06f,B,30,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value(-),28
5d04a31b896a7fea069ef06f,B,31,"[[3415, 3435]]",isso é sempre cómico,Value,29
5d04a31b896a7fea069ef06f,B,35,"[[3641, 3711]]",já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA,Fact,30
5d04a31b896a7fea069ef06f,B,36,"[[3730, 3760]]",são infinitamente minoritários,Value,31
5d04a31b896a7fea069ef06f,B,37,"[[3764, 3922]]","depois disso, toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo",Value,32
5d04a31b896a7fea069ef06f,B,38,"[[3925, 4011]]",todos os poderosos do mundo continuam a apertar a mão a Sepp Blatter e a Jérôme Valcke,Value,33
5d04a31b896a7fea069ef06f,B,42,"[[4076, 4193]]","a colagem que Oliver fez e que os media em geral não fazem, apesar da disponibilidade da informação que a Web permite",Value,34
