annotator,ranges,tokens,label,id,positive_words,neutral_words,negative_words
A,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,1,0,0,0
A,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Value,2,0,4,0
A,"[[3169, 3190]]",É tudo cómico na FIFA,Value,3,1,0,0
A,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value,4,0,0,2
A,"[[4257, 4296]]",não nos fazem rir à custa dos poderosos,Value,5,2,0,0
A,"[[4305, 4404]]",alguém os convenceu de que devem ter como critério o interesse do público e não o interesse público,Value,6,0,3,0
A,"[[3641, 3711]]",já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA,Fact,7,0,3,0
A,"[[3730, 3760]]",são infinitamente minoritários,Value,8,1,0,0
A,"[[3778, 3922]]",toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo,Value,9,3,2,0
B,"[[1321, 1387]]","“o Portugal que morre” morre anónimo e esquecido, calado e cansado",Value(-),10,1,0,3
B,"[[1153, 1316]]",Há no discurso político uma tal preocupação com a peleja partidária para a mera conquista de terreno e uma tal indiferença pelas coisas verdadeiramente importantes,Value(-),11,2,3,0
B,"[[1973, 2031], [2285, 2353]]",o estatuto de “Estado dentro do estádio” que a FIFA possui como organização internacional e “sem fins lucrativos” que finge ser,Value(-),12,1,1,0
B,"[[2033, 2053]]",ditando as suas leis,Value(-),13,0,0,0
B,"[[2055, 2090]]",criando os seus tribunais especiais,Value(-),14,1,0,0
B,"[[2092, 2119]]",fugindo a todos os impostos,Value(-),15,0,0,1
B,"[[2121, 2218]]",absorvendo fundos que os países podiam e deviam dedicar ao desenvolvimento e ao combate à pobreza,Value(-),16,0,0,1
B,"[[2220, 2283]]",acumulando uma fortuna colossal que foge a todos os escrutínios,Value(-),17,0,1,0
B,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,18,0,0,0
B,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Value,19,0,4,0
